Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,845.148,(8),58.3315,8606.06,16.181,(14),1705.33,(4),none
1,218.7,(1),114.669,8343.17,6.391,(40),5592.08,(0),none
2,635.8,(6),67.2527,6761.64,11.209,(26),2081.86,(3),none
3,235.23,(2),110.566,6343.99,5.808,(42),4742.32,(1),none
4,359.533,(3),89.4335,5978.93,5.994,(41),3318.52,(2),none
5,721.1,(7),63.1498,4833.74,12.497,(22),1352.13,(6),none
6,1484.2,(11),44.0173,4469.01,20.61,(6),698.526,(10),none
7,956.919,(9),54.8191,4219.85,13.13,(21),1035.71,(7),none
8,2096.71,(13),37.034,4189.88,17.99,(8),682.243,(11),none
9,1715.5,(12),40.9425,3020.23,15.71,(15),728.922,(9),none
10,519.4,(5),74.4079,2684.72,7.14,(38),1414.3,(5),none
11,9615.09,(45),17.2939,2344.02,30.5,(1),247.881,(21),none
12,5596.84,(31),22.6672,2044.44,31.96,(0),189.254,(26),none
13,3780.49,(21),27.5801,1965.39,17.05,(10),369.829,(12),none
14,8907.2,(41),17.968,1867.91,16.73,(11),343.918,(15),none
15,1119.54,(10),50.6816,1857.04,9.32,(32),800.783,(8),none
16,3602.79,(19),28.2521,1828.85,17.75,(9),287.47,(19),none
17,9443.59,(43),17.4502,1368.57,25.57,(2),145.283,(33),none
18,7347.47,(36),19.7834,1362.79,20.54,(7),182.345,(27),none
19,4586.23,(25),25.0404,1307.62,16.51,(12),215.314,(24),none
20,3761.79,(20),27.6486,1274.67,10.69,(29),325.638,(16),none
21,4620.4,(26),24.9477,1117.27,12.42,(23),256.407,(20),none
22,9258.47,(42),17.6238,1098.36,21.04,(4),144.14,(34),none
23,2453.13,(15),34.2381,1055.14,8.38,(36),354.526,(13),none
24,8804.64,(40),18.0723,1017.16,24.99,(3),113.88,(43),none
25,5245.19,(30),23.4147,910.534,14.52,(16),194.633,(25),none
26,2132.22,(14),36.7243,848.688,11.62,(24),345.087,(14),none
27,8062.41,(38),18.8859,847.595,20.86,(5),114.502,(42),none
28,5729.34,(32),22.4036,838.306,13.22,(20),179.407,(29),none
29,9557.58,(44),17.3459,774.548,16.47,(13),121.152,(41),none
30,4541.22,(24),25.1642,771.428,8.66,(34),219.142,(23),none
31,7169.3,(35),20.0277,765.772,13.85,(19),146.7,(31),none
32,3928.2,(22),27.0566,719.255,10.97,(28),181.662,(28),none
33,7779.39,(37),19.2264,689.851,14.2,(17),130.144,(36),none
34,6711.27,(33),20.6999,688.709,11.21,(25),169.142,(30),none
35,2998.16,(17),30.9701,669.897,7.54,(37),232.204,(22),none
36,8229.34,(39),18.6934,571.125,14.11,(18),111.181,(44),none
37,4670.33,(27),24.814,478.786,9.7,(30),136.975,(35),none
38,6726.25,(34),20.6768,457.009,11.19,(27),128.704,(38),none
39,5137.0,(29),23.66,453.999,9.61,(31),128.716,(37),none
40,3473.13,(18),28.7746,450.527,8.5,(35),146.275,(32),none
41,4973.22,(28),24.0464,370.684,8.83,(33),108.158,(45),none
42,4521.0,(23),25.2204,352.055,6.55,(39),122.598,(40),none
43,2926.08,(16),31.3492,309.967,5.78,(43),126.135,(39),none
44,387.935,(4),86.0974,253.201,2.404,(44),288.664,(18),none
45,85.2026,(0),183.714,151.014,1.4253,(45),316.228,(17),none
