Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,2500000.0,(607),1.07251,140648.0,2127870.0,(0),3.20228,(525),['30-Zn-68_n-tot']
1,474.306,(5),77.8647,27689.6,68.2,(477),11.8638,(33),['30-Zn-68_n-tot']
2,582.246,(6),70.2775,26323.6,70.329,(472),13.1184,(24),['30-Zn-68_n-tot']
3,2485.99,(16),34.0111,21321.4,158.85,(294),20.5274,(11),['30-Zn-64_n-tot']
4,15620.0,(85),13.5684,9510.07,409.4,(83),14.6396,(20),['30-Zn-64_n-tot']
5,83301.6,(389),5.87548,9275.3,478.4,(61),2.01947,(582),['30-Zn-64_n-tot']
6,22508.0,(121),11.3032,8818.99,375.5,(94),2.20662,(579),['30-Zn-64_n-tot']
7,4103.33,(23),26.4729,7947.54,76.15,(462),4.1309,(423),['30-Zn-64_n-tot']
8,50363.4,(252),7.55635,7651.77,781.1,(32),2.29248,(572),['30-Zn-66_n-tot']
9,39783.2,(205),8.50198,7402.47,364.8,(102),5.17834,(276),['30-Zn-64_n-tot']
10,129203.0,(550),4.71773,6806.11,854.0,(30),4.44804,(380),['30-Zn-66_n-tot']
11,358.753,(4),89.5307,6414.77,124.446,(356),3.28155,(519),['30-Zn-67_n-tot']
12,93106.8,(423),5.55749,6119.57,462.9,(65),3.55875,(494),['30-Zn-64_n-tot']
13,95933.2,(432),5.47501,6038.7,859.9,(28),5.11027,(282),['30-Zn-64_n-tot']
14,102259.0,(458),5.30297,5773.13,484.0,(59),5.7475,(217),['30-Zn-64_n-tot']
15,1865.79,(11),39.2589,5469.22,323.72,(126),2.50296,(562),['30-Zn-67_n-tot']
16,96137.4,(434),5.4692,5064.41,241.9,(170),5.02955,(294),['30-Zn-64_n-tot']
17,81423.0,(383),5.94287,5025.77,215.9,(209),3.91837,(458),['30-Zn-64_n-tot']
18,74331.4,(360),6.2199,4946.1,854.2,(29),4.0905,(430),['30-Zn-64_n-tot']
19,122457.0,(528),4.84594,4802.58,537.0,(52),6.93765,(129),['30-Zn-66_n-tot']
20,15010.5,(84),13.8411,4735.2,217.5,(208),11.1072,(39),['30-Zn-64_n-tot']
21,18489.9,(101),12.471,4584.28,434.2,(71),5.7907,(214),['30-Zn-64_n-tot']
22,121465.0,(525),4.86569,4389.26,405.0,(84),5.43467,(255),['30-Zn-64_n-tot']
23,135747.0,(563),4.60261,4339.44,863.0,(27),4.79231,(332),['30-Zn-66_n-tot']
24,132996.0,(557),4.64997,4202.13,753.0,(35),4.56776,(363),['30-Zn-66_n-tot']
25,2276.73,(15),35.5397,4188.58,224.11,(191),2.9407,(538),['30-Zn-67_n-tot']
26,39387.3,(204),8.5446,4070.7,158.0,(297),7.92681,(93),['30-Zn-64_n-tot']
27,141525.0,(571),4.50768,3800.45,1650.0,(14),7.60841,(99),['30-Zn-66_n-tot']
28,106412.0,(476),5.19846,3787.93,371.0,(96),3.92467,(457),['30-Zn-64_n-tot']
29,1477.19,(10),44.1216,3751.07,225.13,(188),3.23705,(522),['30-Zn-67_n-tot']
30,10606.9,(65),16.4655,3709.04,235.8,(178),12.1809,(32),['30-Zn-66_n-tot']
31,119252.0,(517),4.91063,3705.35,649.0,(43),3.75381,(475),['30-Zn-66_n-tot']
32,31940.2,(169),9.48857,3634.7,600.4,(47),3.77106,(473),['30-Zn-64_n-tot']
33,28887.1,(153),9.97741,3556.55,239.4,(172),3.52382,(495),['30-Zn-64_n-tot']
34,136363.0,(566),4.59221,3496.45,723.0,(37),5.73024,(219),['30-Zn-66_n-tot']
35,47654.7,(246),7.76814,3481.07,369.7,(97),1.66004,(587),['30-Zn-64_n-tot']
36,53631.0,(264),7.32254,3391.14,377.2,(92),5.08475,(285),['30-Zn-64_n-tot']
37,4011.55,(21),26.774,3383.32,59.89,(496),2.10126,(581),['30-Zn-66_n-tot']
38,29325.3,(154),9.90258,3301.95,237.9,(175),3.74059,(476),['30-Zn-64_n-tot']
39,61653.6,(303),6.82953,3256.93,452.8,(67),4.00572,(447),['30-Zn-64_n-tot']
40,21510.6,(116),11.5623,3140.89,213.1,(212),10.1613,(48),['30-Zn-64_n-tot']
41,139680.0,(569),4.53735,3095.12,411.0,(82),5.17334,(277),['30-Zn-66_n-tot']
42,79241.1,(378),6.02413,2945.48,170.5,(275),4.29911,(402),['30-Zn-64_n-tot']
43,56587.7,(278),7.12867,2929.6,535.4,(53),3.89905,(459),['30-Zn-68_n-tot']
44,77274.5,(368),6.10031,2921.53,183.8,(251),6.89738,(133),['30-Zn-64_n-tot']
45,33487.5,(172),9.26677,2916.63,704.1,(38),13.2743,(23),['30-Zn-64_n-tot']
46,5130.67,(31),23.6746,2916.47,95.32,(421),5.48404,(246),['30-Zn-68_n-tot']
47,65067.2,(321),6.64796,2759.28,269.5,(152),7.06914,(123),['30-Zn-64_n-tot']
48,98611.8,(446),5.40014,2588.62,646.8,(44),3.67412,(482),['30-Zn-64_n-tot']
49,747.082,(7),62.042,2540.02,162.934,(286),5.55365,(237),['30-Zn-67_n-tot']
50,83059.7,(388),5.88403,2516.49,219.2,(203),2.4433,(564),['30-Zn-64_n-tot']
51,4087.97,(22),26.5226,2499.43,48.14,(524),4.2013,(414),['30-Zn-66_n-tot']
52,92597.7,(422),5.57275,2431.66,463.5,(64),3.77396,(472),['30-Zn-64_n-tot']
53,121660.0,(526),4.86179,2248.32,218.0,(207),5.7454,(218),['30-Zn-64_n-tot']
54,129677.0,(551),4.7091,2238.22,419.0,(77),4.16613,(418),['30-Zn-66_n-tot']
55,87798.3,(408),5.72304,2200.58,383.9,(91),4.98436,(301),['30-Zn-64_n-tot']
56,90070.2,(415),5.6504,2194.37,439.8,(70),9.21187,(62),['30-Zn-66_n-tot']
57,122740.0,(529),4.84035,2180.55,236.0,(177),6.43542,(171),['30-Zn-64_n-tot']
58,2208.25,(14),36.0866,2150.35,119.8,(372),2.40281,(568),['30-Zn-67_n-tot']
59,89120.8,(413),5.68042,2088.48,507.0,(55),1.39495,(596),['30-Zn-64_n-tot']
60,67654.4,(334),6.51961,2059.13,196.2,(232),11.3662,(36),['30-Zn-64_n-tot']
61,51959.8,(258),7.43937,1996.54,254.9,(162),2.23247,(575),['30-Zn-64_n-tot']
62,52543.8,(259),7.39791,1985.5,414.4,(79),8.44192,(81),['30-Zn-64_n-tot']
63,13954.5,(80),14.3553,1966.64,257.0,(160),29.2304,(6),['30-Zn-64_n-tot']
64,80650.3,(380),5.97127,1954.84,677.9,(39),4.30503,(400),['30-Zn-68_n-tot']
65,6092.31,(38),21.7259,1936.31,355.47,(104),3.84616,(465),['30-Zn-67_n-tot']
66,64491.6,(318),6.67757,1927.98,948.7,(25),2.73946,(552),['30-Zn-68_n-tot']
