Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,33.1,(3),294.751,2949.4,1.1294,(23),7256.11,(0),['46-Pd-108_n-tot']
1,90.8,(7),177.962,1838.91,1.7387,(18),2909.61,(1),['46-Pd-108_n-tot']
2,281.919,(10),100.997,1415.6,2.935,(14),1310.34,(2),['46-Pd-106_n-tot']
3,871.032,(14),57.4583,860.179,5.247,(6),442.201,(5),['46-Pd-106_n-tot']
4,956.99,(18),54.8171,681.837,4.136,(9),412.544,(7),['46-Pd-108_n-tot']
5,427.615,(12),82.0056,645.627,2.48,(15),628.499,(3),['46-Pd-108_n-tot']
6,1657.64,(21),41.6509,608.339,7.0,(2),259.766,(10),['46-Pd-108_n-tot']
7,636.217,(13),67.2306,570.205,3.355,(13),413.276,(6),['46-Pd-108_n-tot']
8,906.221,(15),56.3317,514.833,4.199,(8),303.339,(9),['46-Pd-108_n-tot']
9,182.416,(9),125.556,511.888,2.441,(16),575.151,(4),['46-Pd-104_n-tot']
10,922.068,(16),55.8455,492.642,3.509,(12),361.891,(8),['46-Pd-106_n-tot']
11,4382.08,(26),25.6171,452.271,10.49,(0),115.158,(23),['46-Pd-108_n-tot']
12,1839.13,(22),39.5424,369.36,5.33,(5),169.857,(14),['46-Pd-106_n-tot']
13,3162.01,(25),30.157,312.756,9.0,(1),101.087,(26),['46-Pd-108_n-tot']
14,2015.32,(23),37.7744,289.312,5.36,(4),136.637,(18),['46-Pd-108_n-tot']
15,2504.72,(24),33.8836,266.794,6.59,(3),105.07,(24),['46-Pd-108_n-tot']
16,1215.07,(20),48.6485,250.463,3.7,(11),162.757,(15),['46-Pd-108_n-tot']
17,1193.03,(19),49.0958,245.597,5.24,(7),121.373,(22),['46-Pd-104_n-tot']
18,947.475,(17),55.0917,198.679,3.792,(10),132.833,(20),['46-Pd-104_n-tot']
19,150.216,(8),138.36,138.574,1.617,(19),213.196,(11),['46-Pd-105_n-tot']
20,305.639,(11),96.9986,110.908,2.142,(17),138.037,(17),['46-Pd-105_n-tot']
21,77.73,(5),192.343,67.584,1.346,(20),131.665,(21),['46-Pd-105_n-tot']
22,86.7287,(6),182.091,60.6854,1.1674,(22),136.365,(19),['46-Pd-105_n-tot']
23,25.15,(2),338.143,54.8393,0.8963,(24),172.825,(13),['46-Pd-105_n-tot']
24,13.23,(1),466.219,51.5877,0.7061,(25),202.241,(12),['46-Pd-105_n-tot']
25,55.21,(4),228.224,45.2619,1.2605,(21),102.31,(25),['46-Pd-105_n-tot']
26,5.5253,(0),721.426,28.9034,0.59968,(26),154.956,(16),['46-Pd-110_n-tot']
